2025-10-28 08:54:44 | somode.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 270.76 ms | Cache MISS
2025-10-28 08:54:44 | somode.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:44 | somode.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.17 ms | Cache MISS
2025-10-28 08:54:44 | somode.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:45 | gamemob.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 170.53 ms | Cache MISS
2025-10-28 08:54:45 | gamemob.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:57 | tuhafhaberler.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 234.29 ms | Cache MISS
2025-10-28 08:54:57 | tuhafhaberler.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:57 | tuhafhaberler.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 299.39 ms | Cache MISS
2025-10-28 08:54:57 | tuhafhaberler.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:57 | tuhafhaberler.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 135.56 ms | Cache MISS
2025-10-28 08:54:57 | tuhafhaberler.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:58 | rtsab.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 193.07 ms | Cache MISS
2025-10-28 08:54:58 | rtsab.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:58 | rtsab.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 295.96 ms | Cache MISS
2025-10-28 08:54:58 | rtsab.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:58 | rtsab.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.55 ms | Cache MISS
2025-10-28 08:54:58 | rtsab.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:58 | i-butterfly.ru | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 209.18 ms | Cache MISS
2025-10-28 08:54:58 | i-butterfly.ru | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:58 | i-butterfly.ru | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 290.26 ms | Cache MISS
2025-10-28 08:54:58 | i-butterfly.ru | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:58 | i-butterfly.ru | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.35 ms | Cache MISS
2025-10-28 08:54:58 | i-butterfly.ru | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:59 | datepanchang.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.98 ms | Cache MISS
2025-10-28 08:54:59 | datepanchang.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:59 | datepanchang.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.29 ms | Cache MISS
2025-10-28 08:54:59 | datepanchang.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:54:59 | datepanchang.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.32 ms | Cache MISS
2025-10-28 08:54:59 | datepanchang.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:00 | daehepharma.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 182.72 ms | Cache MISS
2025-10-28 08:55:00 | daehepharma.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:00 | daehepharma.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 295.75 ms | Cache MISS
2025-10-28 08:55:00 | daehepharma.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:00 | daehepharma.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 126.45 ms | Cache MISS
2025-10-28 08:55:00 | daehepharma.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:01 | ex-jw.org | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.29 ms | Cache MISS
2025-10-28 08:55:01 | ex-jw.org | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:01 | ex-jw.org | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.10 ms | Cache MISS
2025-10-28 08:55:01 | ex-jw.org | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:01 | ex-jw.org | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 120.71 ms | Cache MISS
2025-10-28 08:55:01 | ex-jw.org | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:02 | us.tf | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.97 ms | Cache MISS
2025-10-28 08:55:02 | us.tf | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:02 | us.tf | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.71 ms | Cache MISS
2025-10-28 08:55:02 | us.tf | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:02 | us.tf | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.27 ms | Cache MISS
2025-10-28 08:55:02 | us.tf | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:03 | informarexresistere.fr | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 177.39 ms | Cache MISS
2025-10-28 08:55:03 | informarexresistere.fr | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:03 | informarexresistere.fr | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 289.13 ms | Cache MISS
2025-10-28 08:55:03 | informarexresistere.fr | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:03 | informarexresistere.fr | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 123.84 ms | Cache MISS
2025-10-28 08:55:03 | informarexresistere.fr | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:04 | running-sigi.de | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.14 ms | Cache MISS
2025-10-28 08:55:04 | running-sigi.de | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:04 | running-sigi.de | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.47 ms | Cache MISS
2025-10-28 08:55:04 | running-sigi.de | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:04 | running-sigi.de | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.07 ms | Cache MISS
2025-10-28 08:55:04 | running-sigi.de | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:25 | tuhafhaberler.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 246.35 ms | Cache MISS
2025-10-28 08:55:25 | tuhafhaberler.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:25 | tuhafhaberler.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 310.21 ms | Cache MISS
2025-10-28 08:55:25 | tuhafhaberler.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:25 | tuhafhaberler.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 139.46 ms | Cache MISS
2025-10-28 08:55:25 | tuhafhaberler.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:26 | rtsab.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 203.23 ms | Cache MISS
2025-10-28 08:55:26 | rtsab.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:26 | rtsab.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 304.15 ms | Cache MISS
2025-10-28 08:55:26 | rtsab.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:26 | rtsab.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 145.26 ms | Cache MISS
