2025-10-28 09:33:45 | gmxwnlajnl | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 177.18 ms | Cache MISS
2025-10-28 09:33:45 | gmxwnlajnl | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 300.56 ms | Cache MISS
2025-10-28 09:33:45 | gmxwnlajnl | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.03 ms | Cache MISS
2025-10-28 09:33:46 | mptrmkwart | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 187.58 ms | Cache MISS
2025-10-28 09:33:46 | mptrmkwart | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 290.39 ms | Cache MISS
2025-10-28 09:33:46 | mptrmkwart | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.55 ms | Cache MISS
2025-10-28 09:33:47 | bookingnest.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.92 ms | Cache MISS
2025-10-28 09:33:47 | bookingnest.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:47 | bookingnest.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 296.81 ms | Cache MISS
2025-10-28 09:33:47 | bookingnest.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:47 | bookingnest.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 134.59 ms | Cache MISS
2025-10-28 09:33:47 | bookingnest.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:48 | metar.gr | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.39 ms | Cache MISS
2025-10-28 09:33:48 | metar.gr | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:48 | metar.gr | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.73 ms | Cache MISS
2025-10-28 09:33:48 | metar.gr | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:48 | metar.gr | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.63 ms | Cache MISS
2025-10-28 09:33:48 | metar.gr | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
